"filename", "language", "Dart", "YAML", "JSON", "C++", "Markdown", "Swift", "XML", "Ini", "Properties", "Groovy", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\reactionRepoImpl\reactionRepoImpl.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"d:\Proyecto\citasnuevo\lib\domain\controller\authScreenController.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\Proyecto\citasnuevo\lib\domain\controller\homeScreenController.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"d:\Proyecto\citasnuevo\lib\domain\controller\reactionsController.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 82
"d:\Proyecto\citasnuevo\lib\domain\entities\AuthScreenEntity.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\Proyecto\citasnuevo\lib\domain\entities\ProfileCharacteristicsEntity.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Proyecto\citasnuevo\lib\domain\entities\ProfileEntity.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"d:\Proyecto\citasnuevo\lib\domain\entities\ReactionEntity.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 75
"d:\Proyecto\citasnuevo\lib\domain\entities\RewardsEntity.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 34
"d:\Proyecto\citasnuevo\lib\domain\repository\authRepo\authRepo.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Proyecto\citasnuevo\lib\domain\repository\homeScreenRepo\homeScreenRepo.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Proyecto\citasnuevo\lib\domain\repository\reactionRepository\reactionRepository.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Proyecto\citasnuevo\lib\main.dart", "Dart", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 82
"d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\Screens\authScreen.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 70
"d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\auth.dart", "Dart", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 81
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Screens\HomeScreen.dart", "Dart", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 91
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Screens\ReportScreen.dart", "Dart", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 139
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\NavigationBar.dart", "Dart", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 72
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfileCharacteristicsWidget.dart", "Dart", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 79
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfileDescription.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfilePicture.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\profileWidget.dart", "Dart", 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 248
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\homeScrenPresentation.dart", "Dart", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 130
"d:\Proyecto\citasnuevo\lib\presentation\presentationDef.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 7
"d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\Screens\ReactionScreen.dart", "Dart", 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 162
"d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\reactionPresentation.dart", "Dart", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 115
"d:\Proyecto\citasnuevo\lib\presentation\routes.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27
"d:\Proyecto\citasnuevo\pubspec.yaml", "YAML", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 44, 40, 155
"d:\Proyecto\citasnuevo\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 2621, 71, 4782, 1, 13, 12, 87, 4, 4, 13, 174, 444, 8226
