"filename", "language", "Markdown", "YAML", "Dart", "JSON", "Swift", "C++", "Properties", "Groovy", "Ini", "XML", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\lib\domain\entities\ProfileEntity.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"d:\Proyecto\citasnuevo\lib\domain\repository\authRepo\authRepo.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Proyecto\citasnuevo\lib\domain\repository\homeScreenRepo\homeScreenRepo.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Proyecto\citasnuevo\lib\domain\usecases\HomeScreenUseCases\homeScreenUseCases.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 2, 7, 49
"d:\Proyecto\citasnuevo\lib\domain\usecases\authUseCases\authUseCases.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Proyecto\citasnuevo\lib\main.dart", "Dart", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 9, 104
"d:\Proyecto\citasnuevo\lib\presentation\auth.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 7, 14, 96
"d:\Proyecto\citasnuevo\lib\presentation\authScreen.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Screens\HomeScreen.dart", "Dart", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 1, 6, 78
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Screens\ReportScreen.dart", "Dart", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 8, 127
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfileCharacteristicsWidget.dart", "Dart", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 11, 79
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfileDescription.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfilePicture.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\profileWidget.dart", "Dart", 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 2, 17, 239
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\homeScrenPresentation.dart", "Dart", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 3, 16, 129
"d:\Proyecto\citasnuevo\lib\presentation\presentationDef.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 1, 7
"d:\Proyecto\citasnuevo\lib\presentation\routes.dart", "Dart", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27
"d:\Proyecto\citasnuevo\pubspec.yaml", "YAML", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 44, 39, 154
"d:\Proyecto\citasnuevo\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 13, 71, 1895, 4782, 12, 1, 4, 13, 4, 87, 146, 295, 7323
