"filename", "language", "YAML", "Dart", "Markdown", "Swift", "C++", "JSON", "Groovy", "Properties", "XML", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\IniciodeSesion\login_screen.dart", "Dart", 0, 117, 0, 0, 0, 0, 0, 0, 0, 2, 16, 135
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\IniciodeSesion\login_screen_elements.dart", "Dart", 0, 267, 0, 0, 0, 0, 0, 0, 0, 24, 40, 331
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Notificaciones\notificacionLlamada.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\RegistrodeUsuario\sign_up_methods.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 9, 38
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\RegistrodeUsuario\sign_up_screen.dart", "Dart", 0, 708, 0, 0, 0, 0, 0, 0, 0, 8, 24, 740
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\RegistrodeUsuario\sign_up_screen_elements.dart", "Dart", 0, 7363, 0, 0, 0, 0, 0, 0, 0, 109, 412, 7884
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Social\social_screen.dart", "Dart", 0, 130, 0, 0, 0, 0, 0, 0, 0, 10, 16, 156
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Social\social_screen_elements.dart", "Dart", 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 7, 297
"d:\Proyecto\citasnuevo\lib\PrimeraPantalla.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 6, 61
"d:\Proyecto\citasnuevo\lib\ServidorFirebase\firebase_manager.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33
"d:\Proyecto\citasnuevo\lib\ServidorFirebase\firebase_sign_up.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 10, 54
"d:\Proyecto\citasnuevo\lib\base_app.dart", "Dart", 0, 159, 0, 0, 0, 0, 0, 0, 0, 2, 21, 182
"d:\Proyecto\citasnuevo\lib\main.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 7, 50
"d:\Proyecto\citasnuevo\pubspec.yaml", "YAML", 57, 0, 0, 0, 0, 0, 0, 0, 0, 47, 21, 125
"d:\Proyecto\citasnuevo\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 57, 19106, 13, 12, 1, 663, 95, 9, 129, 1650, 1649, 23384
