"filename", "language", "YAML", "Dart", "Markdown", "Ini", "XML", "JSON", "Groovy", "TypeScript", "Properties", "Swift", "C++", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\lib\core\notifications\notifications_service.dart", "Dart", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35, 234
"d:\Proyecto\citasnuevo\lib\core\params_types\params_and_types.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 49
"d:\Proyecto\citasnuevo\lib\core\platform\networkInfo.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 60
"d:\Proyecto\citasnuevo\lib\core\usecases\usecases.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Proyecto\citasnuevo\lib\data\Mappers\ChatConverter.dart", "Dart", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 172
"d:\Proyecto\citasnuevo\lib\data\Mappers\ConverterDefinition.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Proyecto\citasnuevo\lib\data\Mappers\MessajeConverter.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"d:\Proyecto\citasnuevo\lib\data\Mappers\ProfilesMapper.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 88
"d:\Proyecto\citasnuevo\lib\data\Mappers\ReactionsMappers.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"d:\Proyecto\citasnuevo\lib\data\Mappers\RewardMapper.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\Proyecto\citasnuevo\lib\data\Mappers\SettingsMapper.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 69
"d:\Proyecto\citasnuevo\lib\data\Mappers\UserCreatorMapper.dart", "Dart", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 226
"d:\Proyecto\citasnuevo\lib\data\Mappers\UserSettingsMapper.dart", "Dart", 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 223
"d:\Proyecto\citasnuevo\lib\data\dataSources\HomeDataSource\homeScreenDataSources.dart", "Dart", 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 18, 227
"d:\Proyecto\citasnuevo\lib\data\dataSources\appSettings\ApplicationSettingsDataSource.dart", "Dart", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 143
"d:\Proyecto\citasnuevo\lib\data\dataSources\authDataSources\authDataSourceImpl.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 68
"d:\Proyecto\citasnuevo\lib\data\dataSources\chatDataSource\chatDataSource.dart", "Dart", 0, 441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 68, 511
"d:\Proyecto\citasnuevo\lib\data\dataSources\principalDataSource\principalDataSource.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 89
"d:\Proyecto\citasnuevo\lib\data\dataSources\reactionDataSources\reactionDataSource.dart", "Dart", 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32, 262
"d:\Proyecto\citasnuevo\lib\data\dataSources\reportDataSource\reportDataSource.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 85
"d:\Proyecto\citasnuevo\lib\data\dataSources\rewardsDataSource\rewardDataSource.dart", "Dart", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 170
"d:\Proyecto\citasnuevo\lib\data\dataSources\sanctionsDataSource.dart\sanctionsDataSource.dart", "Dart", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 94
"d:\Proyecto\citasnuevo\lib\data\dataSources\settingsDataSource\settingsDataSource.dart", "Dart", 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25, 188
