"filename", "language", "YAML", "Dart", "TypeScript", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\lib\domain\controller\homeScreenController.dart", "Dart", 0, 71, 0, 3, 10, 84
"d:\Proyecto\citasnuevo\lib\domain\controller\reactionsController.dart", "Dart", 0, 84, 0, 8, 12, 104
"d:\Proyecto\citasnuevo\lib\domain\controller\reportController.dart", "Dart", 0, -1, 0, 0, 0, -1
"d:\Proyecto\citasnuevo\lib\domain\controller\rewardController.dart", "Dart", 0, 154, 0, 0, 34, 188
"d:\Proyecto\citasnuevo\lib\domain\controller\sanctionsController.dart", "Dart", 0, 61, 0, 1, 12, 74
"d:\Proyecto\citasnuevo\lib\domain\controller\userCreatorController.dart", "Dart", 0, 75, 0, 0, 16, 91
"d:\Proyecto\citasnuevo\lib\domain\controller\userSettingsController.dart", "Dart", 0, 80, 0, 0, 20, 100
"d:\Proyecto\citasnuevo\lib\domain\controller_bridges\HomeScreenCotrollerBridge.dart", "Dart", 0, 23, 0, 0, 10, 33
"d:\Proyecto\citasnuevo\lib\domain\controller_bridges\RewardScreenControllerBridge.dart", "Dart", 0, 23, 0, 0, 6, 29
"d:\Proyecto\citasnuevo\lib\domain\controller_bridges\SettingsToAppSettingsControllerBridge.dart", "Dart", 0, 21, 0, 0, 6, 27
"d:\Proyecto\citasnuevo\lib\domain\controller_bridges\UserSettingsToSettingsControllerBridge.dart", "Dart", 0, 19, 0, 0, 6, 25
"d:\Proyecto\citasnuevo\lib\domain\entities\ApplicationSettingsEntity.dart", "Dart", 0, 20, 0, 0, 1, 21
"d:\Proyecto\citasnuevo\lib\domain\entities\ChatEntity.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\Proyecto\citasnuevo\lib\domain\entities\ReactionEntity.dart", "Dart", 0, 14, 0, 0, 1, 15
"d:\Proyecto\citasnuevo\lib\domain\entities\RewardsEntity.dart", "Dart", 0, 3, 0, -1, 0, 2
"d:\Proyecto\citasnuevo\lib\domain\entities\SanctionsEntity.dart", "Dart", 0, 34, 0, 11, 9, 54
"d:\Proyecto\citasnuevo\lib\domain\entities\SettingsEntity.dart", "Dart", 0, 26, 0, 0, 3, 29
"d:\Proyecto\citasnuevo\lib\domain\entities\UserCreatorEntity.dart", "Dart", 0, 52, 0, 0, 11, 63
"d:\Proyecto\citasnuevo\lib\domain\entities\UserSettingsEntity.dart", "Dart", 0, 73, 0, 0, 15, 88
"d:\Proyecto\citasnuevo\lib\domain\repository\appSettingsRepo\appSettingsRepo.dart", "Dart", 0, 14, 0, 0, 7, 21
"d:\Proyecto\citasnuevo\lib\domain\repository\appSettingsRepo\userSettingsRepo.dart", "Dart", 0, 13, 0, 0, 7, 20
"d:\Proyecto\citasnuevo\lib\domain\repository\homeScreenRepo\homeScreenRepo.dart", "Dart", 0, 4, 0, 0, 2, 6
"d:\Proyecto\citasnuevo\lib\domain\repository\reactionRepository\reactionRepository.dart", "Dart", 0, -1, 0, -5, 1, -5
"d:\Proyecto\citasnuevo\lib\domain\repository\rewardRepository\rewardRepository.dart", "Dart", 0, 13, 0, 0, 6, 19
