"filename", "language", "YAML", "Markdown", "Dart", "pip requirements", "Python", "Gradle", "Java", "C++", "Swift", "XML", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Java Properties", "Ini", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\functions\acceptReaction\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
"d:\Proyecto\citasnuevo\functions\acceptReaction\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\functions\acceptReaction\lib\main.dart", "Dart", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 166
"d:\Proyecto\citasnuevo\functions\acceptReaction\pubspec.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Proyecto\citasnuevo\functions\appSettingsUpdate\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
"d:\Proyecto\citasnuevo\functions\appSettingsUpdate\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\functions\appSettingsUpdate\lib\main.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 58
"d:\Proyecto\citasnuevo\functions\appSettingsUpdate\pubspec.yaml", "YAML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Proyecto\citasnuevo\functions\confirmMessagesHadBeenRead\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
"d:\Proyecto\citasnuevo\functions\confirmMessagesHadBeenRead\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\functions\confirmMessagesHadBeenRead\lib\main.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 58
"d:\Proyecto\citasnuevo\functions\confirmMessagesHadBeenRead\pubspec.yaml", "YAML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Proyecto\citasnuevo\functions\confirmMessages\README.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20, 45
"d:\Proyecto\citasnuevo\functions\confirmMessages\src\index.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 25
"d:\Proyecto\citasnuevo\functions\createInstantChatInstance\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
"d:\Proyecto\citasnuevo\functions\createInstantChatInstance\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\functions\createInstantChatInstance\lib\main.dart", "Dart", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 139
"d:\Proyecto\citasnuevo\functions\createInstantChatInstance\pubspec.yaml", "YAML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Proyecto\citasnuevo\functions\createNewVerificationInstance\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
"d:\Proyecto\citasnuevo\functions\createNewVerificationInstance\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\functions\createNewVerificationInstance\lib\main.dart", "Dart", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 100
"d:\Proyecto\citasnuevo\functions\createNewVerificationInstance\pubspec.yaml", "YAML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Proyecto\citasnuevo\functions\createUser\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
"d:\Proyecto\citasnuevo\functions\createUser\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\functions\createUser\lib\main.dart", "Dart", 0, 0, 447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 27, 487
"d:\Proyecto\citasnuevo\functions\createUser\pubspec.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Proyecto\citasnuevo\functions\deleteConversation\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
"d:\Proyecto\citasnuevo\functions\deleteConversation\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
