"filename", "language", "YAML", "Properties", "Dart", "Groovy", "Markdown", "C++", "Swift", "XML", "JSON", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\RegistrodeUsuario\sign_up_screen.dart", "Dart", 0, 0, 353, 0, 0, 0, 0, 0, 0, 4, 13, 370
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\RegistrodeUsuario\sign_up_screen_elements.dart", "Dart", 0, 0, 1250, 0, 0, 0, 0, 0, 0, 91, 92, 1433
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Social\social_screen.dart", "Dart", 0, 0, 130, 0, 0, 0, 0, 0, 0, 10, 16, 156
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Social\social_screen_elements.dart", "Dart", 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 7, 297
"d:\Proyecto\citasnuevo\lib\ServidorFirebase\firebase_manager.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 9, 43
"d:\Proyecto\citasnuevo\lib\ServidorFirebase\firebase_sign_up.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 6, 10, 54
"d:\Proyecto\citasnuevo\lib\base_app.dart", "Dart", 0, 0, 129, 0, 0, 0, 0, 0, 0, 3, 21, 153
"d:\Proyecto\citasnuevo\lib\main.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 3, 24
"d:\Proyecto\citasnuevo\pubspec.yaml", "YAML", 44, 0, 0, 0, 0, 0, 0, 0, 0, 47, 21, 112
"d:\Proyecto\citasnuevo\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 44, 10, 8809, 94, 13, 1, 12, 120, 185, 555, 796, 10639
