Date : 2022-02-23 15:02:27
Directory : d:\Proyecto\citasnuevo
Total : 50 files,  2225 codes, 15 comments, 340 blanks, all 2580 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\Proyecto\citasnuevo\lib\data\Mappers\ReactionsMappers.dart                                          | Dart     |         36 |          0 |          5 |         41 |
| d:\Proyecto\citasnuevo\lib\data\daraSources\HomeDataSource\homeScreenDataSources.dart                  | Dart     |         -2 |          0 |          1 |         -1 |
| d:\Proyecto\citasnuevo\lib\data\daraSources\chatDataSource\chatDataSource.dart                         | Dart     |        243 |          2 |         37 |        282 |
| d:\Proyecto\citasnuevo\lib\data\daraSources\principalDataSource\principalDataSource.dart               | Dart     |          2 |          0 |          1 |          3 |
| d:\Proyecto\citasnuevo\lib\data\daraSources\reactionDataSources\reactionDataSource.dart                | Dart     |         59 |          0 |         10 |         69 |
| d:\Proyecto\citasnuevo\lib\data\daraSources\reportDataSource\reportDataSource.dart                     | Dart     |         59 |          2 |          9 |         70 |
| d:\Proyecto\citasnuevo\lib\data\daraSources\rewardsDataSource\rewardDataSource.dart                    | Dart     |          2 |          0 |          1 |          3 |
| d:\Proyecto\citasnuevo\lib\data\repositoryImpl\chatRepoImpl\chatRepoImpl.dart                          | Dart     |         80 |          0 |         14 |         94 |
| d:\Proyecto\citasnuevo\lib\data\repositoryImpl\homeScreenRepoImpl.dart\homeScreenRepoImpl.dart         | Dart     |       -119 |          0 |         -4 |       -123 |
| d:\Proyecto\citasnuevo\lib\data\repositoryImpl\reactionRepoImpl\reactionRepoImpl.dart                  | Dart     |         49 |          0 |          3 |         52 |
| d:\Proyecto\citasnuevo\lib\data\repositoryImpl\reportRepoImpl\reportRepoImpl.dart                      | Dart     |         42 |          1 |          6 |         49 |
| d:\Proyecto\citasnuevo\lib\domain\controller\chatController.dart                                       | Dart     |        142 |          0 |         22 |        164 |
| d:\Proyecto\citasnuevo\lib\domain\controller\homeScreenController.dart                                 | Dart     |         -9 |          0 |          0 |         -9 |
| d:\Proyecto\citasnuevo\lib\domain\controller\reactionsController.dart                                  | Dart     |         56 |         -1 |         12 |         67 |
| d:\Proyecto\citasnuevo\lib\domain\controller\reportController.dart                                     | Dart     |         18 |          0 |          5 |         23 |
| d:\Proyecto\citasnuevo\lib\domain\entities\ChatEntity.dart                                             | Dart     |         38 |          1 |          5 |         44 |
| d:\Proyecto\citasnuevo\lib\domain\entities\MessageEntity.dart                                          | Dart     |         21 |          0 |          4 |         25 |
| d:\Proyecto\citasnuevo\lib\domain\entities\ReactionEntity.dart                                         | Dart     |         51 |          0 |         26 |         77 |
| d:\Proyecto\citasnuevo\lib\domain\repository\chatRepo\chatRepo.dart                                    | Dart     |         17 |          0 |          4 |         21 |
| d:\Proyecto\citasnuevo\lib\domain\repository\homeScreenRepo\homeScreenRepo.dart                        | Dart     |         -2 |          0 |          0 |         -2 |
| d:\Proyecto\citasnuevo\lib\domain\repository\reactionRepository\reactionRepository.dart                | Dart     |          2 |          8 |          7 |         17 |
| d:\Proyecto\citasnuevo\lib\domain\repository\reportRepo\reportRepo.dart                                | Dart     |         15 |          0 |          4 |         19 |
| d:\Proyecto\citasnuevo\lib\main.dart                                                                   | Dart     |          7 |          0 |          2 |          9 |
| d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\Screens\authScreen.dart                 | Dart     |          0 |         -1 |          0 |         -1 |
| d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\auth.dart                               | Dart     |          6 |         -1 |          0 |          5 |
| d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\chatPresentation.dart                         | Dart     |        114 |         13 |         27 |        154 |
| d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\chatScreen.dart                               | Dart     |        537 |          4 |         40 |        581 |
| d:\Proyecto\citasnuevo\lib\presentation\homeReportScreenPresentation\ReportScreen.dart                 | Dart     |        130 |          0 |          7 |        137 |
| d:\Proyecto\citasnuevo\lib\presentation\homeReportScreenPresentation\homeReportScreenPresentation.dart | Dart     |         56 |          4 |         29 |         89 |
| d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Screens\HomeScreen.dart                 | Dart     |          8 |          0 |         -1 |          7 |
| d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Screens\ReportScreen.dart               | Dart     |       -128 |         -1 |        -10 |       -139 |
| d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\NavigationBar.dart              | Dart     |         11 |         -1 |          2 |         12 |
| d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\homeScrenPresentation.dart              | Dart     |         -5 |         -2 |          0 |         -7 |
| d:\Proyecto\citasnuevo\lib\presentation\presentationDef.dart                                           | Dart     |          2 |          0 |          4 |          6 |
| d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\Screens\ReactionScreen.dart               | Dart     |        267 |          0 |         12 |        279 |
| d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\reactionPresentation.dart                 | Dart     |         68 |          0 |          8 |         76 |
| d:\Proyecto\citasnuevo\pubspec.yaml                                                                    | YAML     |          2 |          0 |         -1 |          1 |
| Total                                                                                                  |          |      2,225 |         15 |        340 |      2,580 |
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
