"filename", "language", "Dart", "YAML", "Markdown", "JSON", "C++", "XML", "Swift", "Properties", "Groovy", "Ini", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\database.rules.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\firestore.indexes.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Proyecto\citasnuevo\FuncionesNubeFirebase\package-lock.json", "JSON", 0, 0, 0, 4627, 0, 0, 0, 0, 0, 0, 0, 1, 4628
"d:\Proyecto\citasnuevo\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Proyecto\citasnuevo\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"d:\Proyecto\citasnuevo\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 3, 13
"d:\Proyecto\citasnuevo\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"d:\Proyecto\citasnuevo\android\app\src\main\res\xml\network_security_config.xml", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"d:\Proyecto\citasnuevo\android\desktop.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"d:\Proyecto\citasnuevo\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Proyecto\citasnuevo\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"d:\Proyecto\citasnuevo\android\settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
