"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\lib\core\ads_services\Ads.dart", "Dart", 0, 18, 0, 7, 25
"d:\Proyecto\citasnuevo\lib\core\common\commonUtils\getUserImage.dart", "Dart", 0, 42, 0, 3, 45
"d:\Proyecto\citasnuevo\lib\core\common\common_widgets.dart\errorWidget.dart", "Dart", 0, 19, 0, 2, 21
"d:\Proyecto\citasnuevo\lib\core\dependencies\dependencyCreator.dart", "Dart", 0, 17, 0, 9, 26
"d:\Proyecto\citasnuevo\lib\core\dependencies\error\Exceptions.dart", "Dart", 0, 8, 0, 1, 9
"d:\Proyecto\citasnuevo\lib\core\dependencies\error\Failure.dart", "Dart", 0, 4, 0, 1, 5
"d:\Proyecto\citasnuevo\lib\core\params_types\params_and_types.dart", "Dart", 0, 2, 0, 7, 9
"d:\Proyecto\citasnuevo\lib\data\Mappers\ChatConverter.dart", "Dart", 0, 27, 0, 4, 31
"d:\Proyecto\citasnuevo\lib\data\Mappers\MessajeConverter.dart", "Dart", 0, 4, 0, 1, 5
"d:\Proyecto\citasnuevo\lib\data\Mappers\ReactionsMappers.dart", "Dart", 0, -2, 0, 1, -1
"d:\Proyecto\citasnuevo\lib\data\dataSources\HomeDataSource\homeScreenDataSources.dart", "Dart", 0, -30, 0, 0, -30
"d:\Proyecto\citasnuevo\lib\data\dataSources\chatDataSource\chatDataSource.dart", "Dart", 0, 183, 0, 26, 209
"d:\Proyecto\citasnuevo\lib\data\dataSources\principalDataSource\principalDataSource.dart", "Dart", 0, -1, 10, 0, 9
"d:\Proyecto\citasnuevo\lib\data\dataSources\reactionDataSources\reactionDataSource.dart", "Dart", 0, 32, 0, 9, 41
"d:\Proyecto\citasnuevo\lib\data\dataSources\reportDataSource\reportDataSource.dart", "Dart", 0, 10, 2, 3, 15
"d:\Proyecto\citasnuevo\lib\data\dataSources\rewardsDataSource\rewardDataSource.dart", "Dart", 0, 10, 1, 4, 15
"d:\Proyecto\citasnuevo\lib\data\dataSources\settingsDataSource\settingsDataSource.dart", "Dart", 0, 113, 6, 26, 145
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\chatRepoImpl\chatRepoImpl.dart", "Dart", 0, 68, 0, 9, 77
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\homeScreenRepoImpl.dart\homeScreenRepoImpl.dart", "Dart", 0, 8, 0, -5, 3
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\reactionRepoImpl\reactionRepoImpl.dart", "Dart", 0, 17, 0, 3, 20
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\settingsRepoImpl\settingsRepoImpl.dart", "Dart", 0, 22, 0, 6, 28
"d:\Proyecto\citasnuevo\lib\domain\controller\SettingsController.dart", "Dart", 0, 46, 0, 10, 56
"d:\Proyecto\citasnuevo\lib\domain\controller\authScreenController.dart", "Dart", 0, 8, 2, 2, 12
