Date : 2022-03-26 17:35:07
Directory : d:\Proyecto\citasnuevo
Total : 62 files,  2407 codes, 88 comments, 361 blanks, all 2856 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         61 |      2,403 |         88 |        361 |      2,852 |
| YAML     |          1 |          4 |          0 |          0 |          4 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |         62 |      2,407 |         88 |        361 |      2,856 |
| lib                                                                                                    |         61 |      2,403 |         88 |        361 |      2,852 |
| lib\core                                                                                               |          7 |        110 |          0 |         30 |        140 |
| lib\core\ads_services                                                                                  |          1 |         18 |          0 |          7 |         25 |
| lib\core\common                                                                                        |          2 |         61 |          0 |          5 |         66 |
| lib\core\common\commonUtils                                                                            |          1 |         42 |          0 |          3 |         45 |
| lib\core\common\common_widgets.dart                                                                    |          1 |         19 |          0 |          2 |         21 |
| lib\core\dependencies                                                                                  |          3 |         29 |          0 |         11 |         40 |
| lib\core\dependencies\error                                                                            |          2 |         12 |          0 |          2 |         14 |
| lib\core\params_types                                                                                  |          1 |          2 |          0 |          7 |          9 |
| lib\data                                                                                               |         14 |        461 |         19 |         87 |        567 |
| lib\data\Mappers                                                                                       |          3 |         29 |          0 |          6 |         35 |
| lib\data\dataSources                                                                                   |          7 |        317 |         19 |         68 |        404 |
| lib\data\dataSources\HomeDataSource                                                                    |          1 |        -30 |          0 |          0 |        -30 |
| lib\data\dataSources\chatDataSource                                                                    |          1 |        183 |          0 |         26 |        209 |
| lib\data\dataSources\principalDataSource                                                               |          1 |         -1 |         10 |          0 |          9 |
| lib\data\dataSources\reactionDataSources                                                               |          1 |         32 |          0 |          9 |         41 |
| lib\data\dataSources\reportDataSource                                                                  |          1 |         10 |          2 |          3 |         15 |
| lib\data\dataSources\rewardsDataSource                                                                 |          1 |         10 |          1 |          4 |         15 |
| lib\data\dataSources\settingsDataSource                                                                |          1 |        113 |          6 |         26 |        145 |
| lib\data\repositoryImpl                                                                                |          4 |        115 |          0 |         13 |        128 |
| lib\data\repositoryImpl\chatRepoImpl                                                                   |          1 |         68 |          0 |          9 |         77 |
| lib\data\repositoryImpl\homeScreenRepoImpl.dart                                                        |          1 |          8 |          0 |         -5 |          3 |
| lib\data\repositoryImpl\reactionRepoImpl                                                               |          1 |         17 |          0 |          3 |         20 |
| lib\data\repositoryImpl\settingsRepoImpl                                                               |          1 |         22 |          0 |          6 |         28 |
| lib\domain                                                                                             |         16 |        572 |         38 |         99 |        709 |
| lib\domain\controller                                                                                  |          7 |        507 |         25 |         71 |        603 |
| lib\domain\entities                                                                                    |          4 |         40 |          3 |         13 |         56 |
| lib\domain\repository                                                                                  |          5 |         25 |         10 |         15 |         50 |
| lib\domain\repository\chatRepo                                                                         |          1 |         10 |          0 |          1 |         11 |
| lib\domain\repository\homeScreenRepo                                                                   |          1 |          1 |          0 |          0 |          1 |
| lib\domain\repository\reactionRepository                                                               |          1 |          2 |          0 |          3 |          5 |
| lib\domain\repository\settingsRepository                                                               |          1 |          8 |          0 |          8 |         16 |
| lib\presentation                                                                                       |         23 |      1,266 |         32 |        146 |      1,444 |
| lib\presentation\authScreenPresentation                                                                |          2 |         38 |          3 |          8 |         49 |
| lib\presentation\authScreenPresentation\Screens                                                        |          1 |         -1 |          0 |          0 |         -1 |
| lib\presentation\chatPresentation                                                                      |          9 |        873 |          4 |         75 |        952 |
| lib\presentation\chatPresentation\Widgets                                                              |          7 |      1,252 |          7 |         98 |      1,357 |
| lib\presentation\homeReportScreenPresentation                                                          |          2 |         23 |          4 |         11 |         38 |
| lib\presentation\homeScreenPresentation                                                                |          4 |         52 |          1 |          6 |         59 |
| lib\presentation\homeScreenPresentation\Screens                                                        |          1 |          5 |          0 |          2 |          7 |
| lib\presentation\homeScreenPresentation\Widgets                                                        |          2 |         19 |          0 |          2 |         21 |
| lib\presentation\reactionPresentation                                                                  |          2 |         79 |          0 |          8 |         87 |
| lib\presentation\reactionPresentation\Screens                                                          |          1 |         25 |          0 |          0 |         25 |
| lib\presentation\settingsPresentation                                                                  |          2 |        186 |          2 |         21 |        209 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                               | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Proyecto\citasnuevo\lib\core\ads_services\Ads.dart                                                  | Dart     |         18 |          0 |          7 |         25 |
| d:\Proyecto\citasnuevo\lib\core\common\commonUtils\getUserImage.dart                                   | Dart     |         42 |          0 |          3 |         45 |
| d:\Proyecto\citasnuevo\lib\core\common\common_widgets.dart\errorWidget.dart                            | Dart     |         19 |          0 |          2 |         21 |
| d:\Proyecto\citasnuevo\lib\core\dependencies\dependencyCreator.dart                                    | Dart     |         17 |          0 |          9 |         26 |
| d:\Proyecto\citasnuevo\lib\core\dependencies\error\Exceptions.dart                                     | Dart     |          8 |          0 |          1 |          9 |
| d:\Proyecto\citasnuevo\lib\core\dependencies\error\Failure.dart                                        | Dart     |          4 |          0 |          1 |          5 |
| d:\Proyecto\citasnuevo\lib\core\params_types\params_and_types.dart                                     | Dart     |          2 |          0 |          7 |          9 |
| d:\Proyecto\citasnuevo\lib\data\Mappers\ChatConverter.dart                                             | Dart     |         27 |          0 |          4 |         31 |
| d:\Proyecto\citasnuevo\lib\data\Mappers\MessajeConverter.dart                                          | Dart     |          4 |          0 |          1 |          5 |
| d:\Proyecto\citasnuevo\lib\data\Mappers\ReactionsMappers.dart                                          | Dart     |         -2 |          0 |          1 |         -1 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\HomeDataSource\homeScreenDataSources.dart                  | Dart     |        -30 |          0 |          0 |        -30 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\chatDataSource\chatDataSource.dart                         | Dart     |        183 |          0 |         26 |        209 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\principalDataSource\principalDataSource.dart               | Dart     |         -1 |         10 |          0 |          9 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\reactionDataSources\reactionDataSource.dart                | Dart     |         32 |          0 |          9 |         41 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\reportDataSource\reportDataSource.dart                     | Dart     |         10 |          2 |          3 |         15 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\rewardsDataSource\rewardDataSource.dart                    | Dart     |         10 |          1 |          4 |         15 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\settingsDataSource\settingsDataSource.dart                 | Dart     |        113 |          6 |         26 |        145 |
