"filename", "language", "Dart", "YAML", "Properties", "Markdown", "C++", "JSON", "Groovy", "Swift", "XML", "Ini", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Proyecto\citasnuevo\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"d:\Proyecto\citasnuevo\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"d:\Proyecto\citasnuevo\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorConversacion.dart", "Dart", 480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 83, 565
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorCreditos.dart", "Dart", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67, 160
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorDenuncias.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 70
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorInicioSesion.dart", "Dart", 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 42, 220
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorLikes.dart", "Dart", 611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 77, 693
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorLocalizacion.dart", "Dart", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 67, 302
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorNotificaciones.dart", "Dart", 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 213
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorPermisos.dart", "Dart", 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 206
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorRecompensa.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 28
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorVideollamadas.dart", "Dart", 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44, 418
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ManejadorMultimedia.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\PerfilesUsuarios.dart", "Dart", 305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 269, 104, 678
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\QueriesLocalizacion\collection.dart", "Dart", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 167
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\QueriesLocalizacion\geoflutterfire.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
